epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,177.806,0.63918,0.75784,0.17264,0.36705,0.84187,0.99968,1,0.995,0.85984,0.98461,0.98492,0.98137,0.8002,0.59483,0.73954,0.03616,0.32964,0.823,0.0004952,0.0004952,0.0004952
40,182.338,0.61182,0.79716,0.18184,0.35481,0.85,0.99967,1,0.995,0.84842,0.9846,0.98492,0.98312,0.8115,0.66948,0.7064,0.03776,0.35092,0.83273,0.0004556,0.0004556,0.0004556
41,187.3,0.62066,0.61362,0.05513,0.35143,0.84906,0.99965,1,0.995,0.87099,0.99463,0.99497,0.99349,0.82247,0.61445,0.7729,0.03436,0.34185,0.82491,0.000416,0.000416,0.000416
42,191.865,0.59067,0.61325,0.07225,0.33644,0.8378,0.99969,1,0.995,0.86893,0.98461,0.98492,0.98881,0.83701,0.60808,0.77693,0.03353,0.32673,0.82436,0.0003764,0.0003764,0.0003764
43,196.406,0.56806,0.51102,0.05431,0.32844,0.8482,0.99969,1,0.995,0.86762,0.98462,0.98492,0.98029,0.80031,0.59096,0.74164,0.02763,0.32682,0.82513,0.0003368,0.0003368,0.0003368
44,200.928,0.57329,0.57235,0.05026,0.33067,0.83613,0.99968,1,0.995,0.86835,0.98963,0.98995,0.98483,0.82523,0.60236,0.67108,0.02682,0.33403,0.82298,0.0002972,0.0002972,0.0002972
45,205.412,0.57137,0.54687,0.05295,0.32522,0.84119,0.9997,1,0.995,0.88778,0.98965,0.98995,0.98492,0.84976,0.59006,0.63071,0.02493,0.32069,0.82045,0.0002576,0.0002576,0.0002576
46,209.916,0.55426,0.54792,0.04694,0.30934,0.83068,0.9997,1,0.995,0.87965,0.9796,0.9799,0.97361,0.82532,0.59343,0.7248,0.0244,0.33197,0.82563,0.000218,0.000218,0.000218
47,214.435,0.55014,0.50376,0.04077,0.31278,0.82957,0.99969,1,0.995,0.88268,0.99467,0.99497,0.99204,0.83354,0.57776,0.65648,0.02224,0.31915,0.82588,0.0001784,0.0001784,0.0001784
48,218.956,0.53668,0.50143,0.0488,0.30772,0.83434,1,1,0.995,0.88909,0.98492,0.98492,0.98857,0.84007,0.57976,0.69121,0.0225,0.31036,0.82294,0.0001388,0.0001388,0.0001388
49,223.483,0.52898,0.49417,0.05665,0.30067,0.83052,0.99969,1,0.995,0.89108,0.98462,0.98492,0.98509,0.84596,0.55666,0.66855,0.02217,0.31183,0.81787,9.92e-05,9.92e-05,9.92e-05
50,228,0.52638,0.46319,0.03965,0.30167,0.83346,0.99969,1,0.995,0.89309,0.98462,0.98492,0.98695,0.85458,0.56467,0.64114,0.02139,0.30647,0.81856,5.96e-05,5.96e-05,5.96e-05
