elapsed_time,x,y,z,pitch,roll,yaw,x_speed,y_speed,z_speed,pitch_speed,roll_speed,yaw_speed,control_x,control_y,control_z,control_yaw
0.76,1.3283433653573289,0.9416838034160395,1.2207638656776039,0.2315669928743225,0.007284230325770705,-0.009620015769053396,0.03888715652802887,0.03232284387945739,0.24408133722849026,-0.0011402860821782869,0.010145685389546853,-0.04029043456392386,0,0,20,0
0.80,1.3298266323537542,0.9430418693443358,1.2306920990677503,0.23175639518864738,0.0059026670741954,-0.008425373295718058,0.037198557183620924,0.0340586645658562,0.248988185124966,0.004749982866944233,-0.03464794925011394,0.029960200331730726,0,0,20,0
0.84,1.3312711217022066,0.9443249527493833,1.2407086854557081,0.23165398834102593,0.0057591392629773724,-0.007811141032952923,0.03614458395778244,0.03210582058515374,0.25063898744411134,-0.002562464656226602,-0.003591409675955534,0.015369562686549824,0,0,20,0
0.88,1.332691836097805,0.9456010257038486,1.2509039977622645,0.23196663195186668,0.004507041428072109,-0.007070159941186466,0.034525980765713865,0.03101092690973876,0.24776489749605146,0.0075978165124905035,-0.03042828727481278,0.01800720750162475,0,0,20,0
0.92,1.333996645478871,0.946888290518555,1.2610419222520926,0.2315481061923162,0.0020157815527892253,-0.0063547142422704485,0.03355693643496685,0.033105727310746964,0.26072596704488904,-0.01076359697702249,-0.06406993273573632,0.018399749564631872,0,0,20,0
0.96,1.335450390997776,0.9483178720500827,1.2712004021683596,0.23144261024550286,0.001766681422288044,-0.007370047505414407,0.03637055404732079,0.03576600696705235,0.2541500819975102,-0.002639351926076963,-0.006232115347404247,-0.02540213045749282,0,0,20,0
1.00,1.3368221786786814,0.9494335312335143,1.281163993197814,0.23224174244779427,-0.00013066245212162153,-0.00690902516475837,0.03428573292875677,0.027884193257519365,0.24902470389715428,0.019973085954853448,-0.04742120537858105,0.011522547596790394,0,0,0,0
1.04,1.338277727348846,0.9506938965578424,1.2911393876773747,0.23221713572937247,-0.0007359861047079169,-0.006770645525164193,0.03629982584129278,0.03143216211680671,0.24877566084086447,-0.000613665218859509,-0.015096123968161521,0.0034510400924493904,0,0,0,0
1.08,1.3397970239999435,0.9519800206474698,1.3011117855400378,0.23177341466870074,-0.0001574911767702053,-0.005762860797853525,0.0379081148885783,0.03209020418451049,0.24882224522733007,-0.011071326283958226,0.014434081833117327,0.025145332347208182,0,0,0,0
1.12,1.3413834372314508,0.9533319422557612,1.3099451580486032,0.23152944592971178,-0.001956435955885391,-0.004265968195316811,0.039827253186193054,0.03394028939745414,0.22176376015996963,-0.006124888865177678,-0.04516290444559996,0.03757981810144403,0,0,0,0
1.16,1.343202627561446,0.9546647398520729,1.3155824394305895,0.23115657823782054,-0.00030537583491350995,-0.008555502993088198,0.04538782048788797,0.033252583333732245,0.14064713910720555,-0.009302848408026707,0.04119306218255,-0.10702158656390812,0,0,0,0
1.20,1.3449284849509808,0.9561717891879422,1.318604612438141,0.22953437565436474,0.002332634803841424,-0.008596549923713764,0.04309561560014167,0.03763185722232548,0.07546533508522467,-0.04050729764004881,0.06587258780837277,-0.001024964608623757,0,0,0,0
1.24,1.3468018740963148,0.9576232227782773,1.3206102900009578,0.22976051300484837,0.002626858196015297,-0.00874613432857511,0.04727377709357125,0.03662599849396986,0.05061199071337347,0.005706431429860837,0.007424539152468769,-0.003774666800916694,0,0,0,0
1.28,1.348624055405621,0.9592593221729245,1.32184549547648,0.22885917709873355,0.0036195828093566335,-0.008520742190027335,0.04539628500358369,0.040760397461148554,0.030772865201951057,-0.022455120941576742,0.024731901950236824,0.005615229234777812,0,0,0,0
1.32,1.3504671664459988,0.9609580709072788,1.3228928218500184,0.22861928631227696,0.003540027219956318,-0.008528682157411354,0.045792592032205606,0.0422058715146997,0.026021106866238368,-0.005960151437343445,-0.0019765801243008694,-0.00019727063600620017,0,0,0,0
1.36,1.352333233960579,0.9626479667824568,1.3238660228662824,0.2277722330196741,0.0033006831318597024,-0.008519864591566766,0.046657850615041754,0.04225297781724299,0.02433323943558886,-0.02117912973697407,-0.005984392644292029,0.00022046826642156537,0,0,0,0
1.40,1.3542465005134592,0.9643910159933815,1.3248463606112444,0.22769923376448886,0.002686477599186235,-0.0072724168815001934,0.04633456061048606,0.04221231965251708,0.02374134361691874,-0.0017678605256586993,-0.014874531433224526,0.030210083087209454,0,0,0,0
1.44,1.3561511323305895,0.9662122126516789,1.325760428584386,0.22728536364121485,0.003619493825399278,-0.006545420886888737,0.049491400058959426,0.047323357507300226,0.023751836619003795,-0.010754315694603224,0.02424420242153885,0.01889081621286141,0,0,0,0
1.48,1.358063716020693,0.9681050022704217,1.3267277045089234,0.22691074531660377,0.0025778462344773906,-0.004708296977890919,0.04733053326333345,0.0468406911937811,0.02393708863984963,-0.009270645340021456,-0.02577755745063979,0.0454631369772797,0,0,0,0
